rank,iso3,country_name,region,overall_score,status,model_version,framework
1,DNK,Denmark,Europe,86.4,scored,0.1.0,maqasid
2,GBR,United Kingdom,Europe,81.75,scored,0.1.0,maqasid
3,SGP,Singapore,Asia,78.13,scored,0.1.0,maqasid
4,USA,United States,Americas,66.99,scored,0.1.0,maqasid
5,IND,India,Asia,51.49,scored,0.1.0,maqasid
,AFG,Afghanistan,Asia,,unavailable,0.1.0,maqasid
,ALB,Albania,Europe,,unavailable,0.1.0,maqasid
,DZA,Algeria,Africa,,unavailable,0.1.0,maqasid
,AND,Andorra,Europe,,unavailable,0.1.0,maqasid
,AGO,Angola,Africa,,unavailable,0.1.0,maqasid
,ATG,Antigua and Barbuda,Americas,,unavailable,0.1.0,maqasid
,ARG,Argentina,Americas,,unavailable,0.1.0,maqasid
,ARM,Armenia,Asia,,unavailable,0.1.0,maqasid
,AUS,Australia,Oceania,,unavailable,0.1.0,maqasid
,AUT,Austria,Europe,,unavailable,0.1.0,maqasid
,AZE,Azerbaijan,Asia,,unavailable,0.1.0,maqasid
,BHS,Bahamas,Americas,,unavailable,0.1.0,maqasid
,BHR,Bahrain,Asia,,unavailable,0.1.0,maqasid
,BGD,Bangladesh,Asia,,unavailable,0.1.0,maqasid
,BRB,Barbados,Americas,,unavailable,0.1.0,maqasid
,BLR,Belarus,Europe,,unavailable,0.1.0,maqasid
,BEL,Belgium,Europe,,unavailable,0.1.0,maqasid
,BLZ,Belize,Americas,,unavailable,0.1.0,maqasid
,BEN,Benin,Africa,,unavailable,0.1.0,maqasid
,BTN,Bhutan,Asia,,unavailable,0.1.0,maqasid
,BOL,Bolivia,Americas,,unavailable,0.1.0,maqasid
,BIH,Bosnia and Herzegovina,Europe,,unavailable,0.1.0,maqasid
,BWA,Botswana,Africa,,unavailable,0.1.0,maqasid
,BRA,Brazil,Americas,,unavailable,0.1.0,maqasid
,BRN,Brunei,Asia,,unavailable,0.1.0,maqasid
,BGR,Bulgaria,Europe,,unavailable,0.1.0,maqasid
,BFA,Burkina Faso,Africa,,unavailable,0.1.0,maqasid
,BDI,Burundi,Africa,,unavailable,0.1.0,maqasid
,CPV,Cabo Verde,Africa,,unavailable,0.1.0,maqasid
,KHM,Cambodia,Asia,,unavailable,0.1.0,maqasid
,CMR,Cameroon,Africa,,unavailable,0.1.0,maqasid
,CAN,Canada,Americas,,unavailable,0.1.0,maqasid
,CAF,Central African Republic,Africa,,unavailable,0.1.0,maqasid
,TCD,Chad,Africa,,unavailable,0.1.0,maqasid
,CHL,Chile,Americas,,unavailable,0.1.0,maqasid
,CHN,China,Asia,,unavailable,0.1.0,maqasid
,COL,Colombia,Americas,,unavailable,0.1.0,maqasid
,COM,Comoros,Africa,,unavailable,0.1.0,maqasid
,COG,Congo,Africa,,unavailable,0.1.0,maqasid
,CRI,Costa Rica,Americas,,unavailable,0.1.0,maqasid
,HRV,Croatia,Europe,,unavailable,0.1.0,maqasid
,CUB,Cuba,Americas,,unavailable,0.1.0,maqasid
,CYP,Cyprus,Asia,,unavailable,0.1.0,maqasid
,CZE,Czechia,Europe,,unavailable,0.1.0,maqasid
,CIV,Côte d'Ivoire,Africa,,unavailable,0.1.0,maqasid
,COD,DR Congo,Africa,,unavailable,0.1.0,maqasid
,DJI,Djibouti,Africa,,unavailable,0.1.0,maqasid
,DMA,Dominica,Americas,,unavailable,0.1.0,maqasid
,DOM,Dominican Republic,Americas,,unavailable,0.1.0,maqasid
,ECU,Ecuador,Americas,,unavailable,0.1.0,maqasid
,EGY,Egypt,Africa,,unavailable,0.1.0,maqasid
,SLV,El Salvador,Americas,,unavailable,0.1.0,maqasid
,GNQ,Equatorial Guinea,Africa,,unavailable,0.1.0,maqasid
,ERI,Eritrea,Africa,,unavailable,0.1.0,maqasid
,EST,Estonia,Europe,,unavailable,0.1.0,maqasid
,SWZ,Eswatini,Africa,,unavailable,0.1.0,maqasid
,ETH,Ethiopia,Africa,,unavailable,0.1.0,maqasid
,FJI,Fiji,Oceania,,unavailable,0.1.0,maqasid
,FIN,Finland,Europe,,unavailable,0.1.0,maqasid
,FRA,France,Europe,,unavailable,0.1.0,maqasid
,GAB,Gabon,Africa,,unavailable,0.1.0,maqasid
,GMB,Gambia,Africa,,unavailable,0.1.0,maqasid
,GEO,Georgia,Asia,,unavailable,0.1.0,maqasid
,DEU,Germany,Europe,,unavailable,0.1.0,maqasid
,GHA,Ghana,Africa,,unavailable,0.1.0,maqasid
,GRC,Greece,Europe,,unavailable,0.1.0,maqasid
,GRD,Grenada,Americas,,unavailable,0.1.0,maqasid
,GTM,Guatemala,Americas,,unavailable,0.1.0,maqasid
,GIN,Guinea,Africa,,unavailable,0.1.0,maqasid
,GNB,Guinea-Bissau,Africa,,unavailable,0.1.0,maqasid
,GUY,Guyana,Americas,,unavailable,0.1.0,maqasid
,HTI,Haiti,Americas,,unavailable,0.1.0,maqasid
,VAT,Holy See,Europe,,unavailable,0.1.0,maqasid
,HND,Honduras,Americas,,unavailable,0.1.0,maqasid
,HUN,Hungary,Europe,,unavailable,0.1.0,maqasid
,ISL,Iceland,Europe,,unavailable,0.1.0,maqasid
,IDN,Indonesia,Asia,,unavailable,0.1.0,maqasid
,IRN,Iran,Asia,,unavailable,0.1.0,maqasid
,IRQ,Iraq,Asia,,unavailable,0.1.0,maqasid
,IRL,Ireland,Europe,,unavailable,0.1.0,maqasid
,ISR,Israel,Asia,,unavailable,0.1.0,maqasid
,ITA,Italy,Europe,,unavailable,0.1.0,maqasid
